gene_symbol,Hrnr
analysis_id,fw0ah35wdg3l37v
pvalue,0.7864605
parameter_name,Blood Vessel Morphology
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3046938
parameter_id,IMPC_GEO_011_001
