gene_symbol,Ap5s1
analysis_id,qynp42d43638iy0
parameter_id,IMPC_CSD_029_001
pvalue,0.3590697
gene_accession_id,MGI:1916846
mouse_strain,C57BL
parameter_name,Activity (body position)
mouse_life_stage,Early adult
