parameter_name,Hematocrit
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
pvalue,0.6115961
mouse_strain,C51BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_004_001
analysis_id,21243504bc2w4co
