analysis_id,89ary0nz0a6q17y
parameter_id,IMPC_CSD_029_001
parameter_name,Activity (body position)
pvalue,0.2858758
gene_accession_id,MGI:105073
mouse_strain,C57BL
gene_symbol,Tnni1
mouse_life_stage,Early adult
