analysis_id,ad7190hq98o6516
mouse_strain,B6J
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.9530077
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
parameter_id,MGP_MLN_093_001
