parameter_name,Hindpaw - size
pvalue,0.5305397
gene_symbol,Cpa3
analysis_id,769v3bk1f4p0337
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_CSD_041_002
