parameter_id,HMGULA_DYS_024_001
gene_symbol,Kif24
pvalue,0.05526708
mouse_strain,C57BL
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
parameter_name,Vibrissae - appearance
analysis_id,ne7f440e126of51
