gene_symbol,Rab17
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
gene_accession_id,MGI:104640
pvalue,0.5873106
analysis_id,v5r66fp3k7uu960
