parameter_name,Neutrophil cell count
gene_accession_id,MGI:1274787
gene_symbol,Trdmt1
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_030_001
analysis_id,7hs98j8m0hzt0f3
mouse_strain,C57BL
pvalue,0.3247862
