analysis_id,y1r89jw5oj3p197
mouse_life_stage,Early adult
gene_symbol,F2
pvalue,0.2231636
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:88380
mouse_strain,C57BL
parameter_name,Global prepulse inhibition
