gene_symbol,Tubb4b
parameter_id,MGP_IMM_028_001
mouse_life_stage,Early adult
pvalue,0.6039919
mouse_strain,C57BL
analysis_id,23y6534v19731e2
gene_accession_id,MGI:1915472
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
