analysis_id,99v41v903gts6xc
parameter_name,Mean left eye lens density
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
gene_symbol,Mecom
parameter_id,IMPC_EYE_056_001
pvalue,0.7470936
mouse_strain,C58BL
