parameter_name,B Cells
pvalue,0.8593226
gene_symbol,Arnt
mouse_life_stage,Early adult
analysis_id,c5wkd712ujx2k3d
gene_accession_id,MGI:88071
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
