parameter_name,Hindlimb digit - size
gene_accession_id,MGI:88380
analysis_id,259060wm656p2k3
parameter_id,IMPC_CSD_047_001
gene_symbol,F2
pvalue,0.624565
mouse_life_stage,Early adult
mouse_strain,C57BL
