gene_symbol,Hrnr
gene_accession_id,MGI:3046938
parameter_name,B2B Cells
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_065_001
pvalue,0.3853777
analysis_id,jy1yv9tg25i3sf8
mouse_strain,C57BL
