parameter_name,Head coat/hair presence
analysis_id,u7991m0mw3520ik
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.7745564
parameter_id,MGP_CSD_015_001
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
