analysis_id,57k76wpy895c508
pvalue,0.05246969
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
gene_symbol,Wars2
parameter_name,Humerus
