parameter_name,Chloride
gene_accession_id,MGI:3522699
analysis_id,kl02hgo997597jm
mouse_strain,C57BL
pvalue,0.6804836
gene_symbol,Trpa1
parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
