gene_symbol,Sla2
mouse_life_stage,Early adult
parameter_name,PQ
gene_accession_id,MGI:1925049
parameter_id,IMPC_ECG_005_001
mouse_strain,C57BL
pvalue,0.9848172
analysis_id,5xx8jrhva2dy85w
