analysis_id,911s199z1066y4y
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
pvalue,0.3500544
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
mouse_strain,129SV
gene_symbol,Cds2
