analysis_id,y1ha5331g334651
parameter_id,IMPC_CSD_011_001
pvalue,0.7004239
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Coat - hair distribution - back
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
