mouse_strain,C3H
mouse_life_stage,Early adult
pvalue,0.8298071
gene_symbol,Mecom
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
analysis_id,oyh1c2eta682kfe
gene_accession_id,MGI:95457
