parameter_name,NKT cells (panel A)
gene_symbol,Npbwr1
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:891989
mouse_strain,C57BL
analysis_id,q23883fyv7776dd
pvalue,0.8169335
