analysis_id,z6qaivcv4c6nn1z
parameter_id,IMPC_ACS_034_001
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1924315
pvalue,0.946139
gene_symbol,Ints7
