analysis_id,v9312am7q424a38
mouse_strain,C57BL
parameter_name,6kHz-evoked ABR Threshold
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
parameter_id,IMPC_ABR_004_001
gene_accession_id,MGI:2441730
pvalue,0.7218344
