gene_symbol,Rab22a
parameter_id,JAXLA_CSD_007_001
pvalue,0.3267823
mouse_strain,C57BL
analysis_id,sbw60zq47resvxc
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
parameter_name,Coat - color - abdomen
