analysis_id,m053894zei99vk4
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
parameter_id,MGP_IMM_071_001
mouse_strain,C57BL
gene_symbol,Kdm5b
pvalue,0.4677437
