analysis_id,n9ye7l123331gx5
parameter_id,MGP_PBI_015_001
pvalue,0.8535648
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
parameter_name,IgD+ mature B cell percentage
mouse_strain,C57BL
gene_symbol,Zyg11b
