gene_symbol,Zcchc2
pvalue,0.6671
parameter_id,UCDLA_EYE_083_001
gene_accession_id,MGI:2444114
analysis_id,9yd3u7n5hll8b5n
mouse_strain,C50BL
parameter_name,Vitreous
mouse_life_stage,Early adult
