gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_name,Forelimb grip strength normalised against body weight
mouse_life_stage,Early adult
parameter_id,HRWLLA_GRS_010_001
analysis_id,4058t9dw04jh3a2
pvalue,0.2561406
mouse_strain,C57BL
