analysis_id,3wbp503r7sx11wr
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rab22a
gene_accession_id,MGI:105072
pvalue,0.3258242
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_026_001
