parameter_name,Narrow eye opening
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
pvalue,0.9784994
analysis_id,c4qss4t8925cg75
parameter_id,IMPC_EYE_006_001
gene_symbol,Rnf114
