analysis_id,71tx93z94lp79fo
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
pvalue,0.9922988
parameter_name,Periphery resting time
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_011_001
gene_symbol,Rhbg
