analysis_id,6kt441dw2ao0yjf
parameter_id,IMPC_FEA_003_001
pvalue,0.6435573
mouse_strain,C57BL
gene_accession_id,MGI:106659
parameter_name,Conditioning Baseline % Freezing Time
gene_symbol,Sprr1b
mouse_life_stage,Early adult
