parameter_name,Stroke Volume
pvalue,0.496582
analysis_id,5r67r3xz0lkam47
gene_accession_id,MGI:1927232
parameter_id,IMPC_ECH_003_001
gene_symbol,Rab13
mouse_strain,C57BL
mouse_life_stage,Early adult
