parameter_name,Forebrain
mouse_strain,C57BL
gene_symbol,Cpa3
analysis_id,3hq27q271f73dpr
gene_accession_id,MGI:88479
parameter_id,IMPC_GEL_028_001
pvalue,0.4844507
mouse_life_stage,Early adult
