gene_symbol,Kcng1
parameter_name,Caudal processes
pvalue,0.1826868
analysis_id,858k81a705333zi
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
