gene_symbol,Snrpb2
analysis_id,pqh6m6x4pi1mnmy
mouse_life_stage,Early adult
parameter_name,CD8+ alpha beta T cell percentage
mouse_strain,C57BL
gene_accession_id,MGI:104805
parameter_id,MGP_PBI_004_001
pvalue,0.7394546
