parameter_name,Cholesterol ratio
gene_symbol,Trpa1
pvalue,0.9695319
mouse_life_stage,Early adult
analysis_id,2xv066gj1e6ll54
parameter_id,IMPC_CBC_058_001
gene_accession_id,MGI:3522699
mouse_strain,C57BL
