gene_symbol,Ninl
gene_accession_id,MGI:1925427
analysis_id,l6441nwi53h501t
mouse_strain,129SV
parameter_name,Center average speed
pvalue,0.08935645
parameter_id,JAX_OFD_017_001
mouse_life_stage,Early adult
