analysis_id,1570854wb342l4i
pvalue,0.1175559
parameter_id,IMPC_HWT_008_001
parameter_name,Heart weight
gene_symbol,Mecom
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
mouse_strain,C3H
