analysis_id,x7b5f1f8rd3j884
mouse_strain,C57BL
parameter_id,ESLIM_001_001_117
gene_symbol,Zyg11b
parameter_name,eye size
mouse_life_stage,E18.5
gene_accession_id,MGI:2685277
pvalue,0.2180017
