analysis_id,7p75d0yvv443k33
mouse_strain,C57BL
parameter_name,110dB startle magnitude
gene_symbol,Hpca
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1336200
pvalue,0.2653127
parameter_id,ESLIM_011_001_006
