gene_symbol,Cmpk1
parameter_id,IMPC_EYE_004_001
gene_accession_id,MGI:1913838
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.05714993
analysis_id,n321e40827je814
parameter_name,Eyelid morphology
