parameter_id,IMPC_ECH_018_001
mouse_strain,C57BL
pvalue,0.1853054
gene_accession_id,MGI:2670995
gene_symbol,Trp53i11
analysis_id,ob6vbq995gorr3h
mouse_life_stage,Early adult
parameter_name,Respiration Rate
