parameter_name,BMC/Body weight
parameter_id,HRWLLA_DXA_007_001
gene_symbol,Slc39a10
mouse_strain,C57BL
analysis_id,02sl11635438kji
gene_accession_id,MGI:1914515
pvalue,0.09936122
mouse_life_stage,E9.5
