parameter_name,NKT cells (panel A)
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4844825
analysis_id,119px34b80g1dn9
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
parameter_id,IMPC_IMM_004_001
