parameter_name,B Cells
gene_symbol,Dmap1
pvalue,0.8710266
mouse_life_stage,E12.5
analysis_id,c6mcd251c24nn40
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
gene_accession_id,MGI:1913483
