analysis_id,567ww4hxpl6czk4
gene_accession_id,MGI:2685277
pvalue,0.1593232
parameter_id,IMPC_CBC_005_001
gene_symbol,Zyg11b
parameter_name,Creatinine
mouse_strain,C57BL
mouse_life_stage,E18.5
