analysis_id,2ttr592r555003t
parameter_name,Eosinophil cell count
mouse_strain,C57BL
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_life_stage,E15.5
parameter_id,IMPC_HEM_036_001
pvalue,0.910714
