parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
mouse_life_stage,Early adult
analysis_id,412br2yu02l00h4
mouse_strain,C57BL
gene_symbol,Lime1
pvalue,0.2929255
gene_accession_id,MGI:1919949
