analysis_id,95j6l1p5hyk6un2
mouse_life_stage,Early adult
gene_symbol,Ola1
parameter_name,Total bilirubin
parameter_id,IMPC_CBC_008_001
gene_accession_id,MGI:1914309
pvalue,0.5100598
mouse_strain,C57BL
