analysis_id,4ygv8tz1f32q100
pvalue,0.7577116
gene_accession_id,MGI:1336200
mouse_strain,C57BL
gene_symbol,Hpca
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_MLN_074_001
