analysis_id,91kn97coqq31l3t
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_name,Periphery resting time
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
pvalue,0.4809343
parameter_id,ESLIM_007_001_007
