parameter_id,IMPC_EYE_092_002
mouse_life_stage,Early adult
pvalue,0.6366925
mouse_strain,C57BL
parameter_name,Retina (combined)
gene_accession_id,MGI:103302
gene_symbol,Bmp7
analysis_id,14t7033r7n0n9g7
