analysis_id,n22d933f028o9t7
mouse_life_stage,Early adult
pvalue,0.4704209
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
gene_accession_id,MGI:2444777
parameter_name,Mean corpuscular hemoglobin
gene_symbol,Ncaph
