gene_symbol,Lcn2
pvalue,0.9618905
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
parameter_id,TCPLA_GRS_011_001
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,sfblb423m50b7u8
