parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
parameter_name,ST
mouse_strain,C57BL
gene_symbol,Ints7
analysis_id,a04s37t51199u9k
pvalue,0.9011968
