gene_symbol,Cldn19
parameter_id,MGP_PBI_011_001
parameter_name,KLRG1+ mature NK cell percentage
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3033992
analysis_id,bs70t29482f9dlw
pvalue,0.6605923
