analysis_id,2i631426xj1269y
parameter_name,Body weight
pvalue,0.06187755
gene_symbol,Mecom
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:95457
parameter_id,M-G-P_009_001_003
