analysis_id,g2m528o524t2z52
pvalue,0.8526061
parameter_name,Neutrophil cell count
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
