gene_symbol,Eprs1
parameter_id,MGP_IMM_007_001
pvalue,0.6339556
gene_accession_id,MGI:97838
analysis_id,2mlm9mk1485084m
mouse_life_stage,E12.5
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
