Analysis_id,dvx760ix3dll35a
Mouse_life_stage,E9.5
gene_accession_id,MGI:97838
pvalue,0.4535209
Parameter_id,IMPC_CSD_036_001
Parameter_name,Startle response
Gene_symbol,Eprs1
Mouse_strain,C57BL
