gene_symbol,Rnf114
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_030_001
analysis_id,5d1161044ugppn1
pvalue,0.3923191
gene_accession_id,MGI:1933159
